DSC_0402,RAB,249,d,vis,snake
DSC_0486,RAB,366,d,vis,snake
DSC_0502,RAB,377,d,vis,snake
DSC_0504,RAB,378,d,vis,snake
DSC_0545,RAB,419,v,vis,snake
DSC_0550,RAB,419,d,vis,snake
DSC_0554,RAB,421,v,vis,snake
DSC_0604,RAB,471,d,vis,snake
DSC_0608,RAB,471,v,vis,snake
DSC_0931,RAB,567,v,vis,snake
DSC_0935,RAB,567,d,vis,snake
DSC_1018,RAB,659,d,vis,snake
DSC_1021,RAB,659,v,vis,snake
DSC_1023,RAB,663,d,vis,snake
DSC_1024,RAB,663,v,vis,snake
DSC_1029,RAB,664,d,vis,snake
DSC_1031,RAB,664,v,vis,snake
DSC_1035,RAB,665,v,vis,snake
DSC_1036,RAB,665,d,vis,snake
DSC_1040,RAB,672,d,vis,snake
DSC_1041,RAB,672,v,vis,snake
DSC_1084,RAB,931,v,vis,snake
DSC_1085,RAB,932,v,vis,snake
DSC_1088,RAB,932,d,vis,snake
DSC_1089,RAB,933,d,vis,snake
DSC_1092,RAB,933,v,vis,snake
DSC_1101,RAB,937,d,vis,snake
DSC_1104,RAB,937,v,vis,snake
DSC_1213,RAB,1049,d,vis,snake
DSC_1216,RAB,1049,v,vis,snake
DSC_1234,RAB,1054,d,vis,snake
DSC_1237,RAB,1054,v,vis,snake
DSC_1254,RAB,1099,d,vis,snake
DSC_1257,RAB,1099,v,vis,snake
DSC_1258,RAB,1100,d,vis,snake
DSC_1261,RAB,1100,v,vis,snake
DSC_1262,RAB,1101,d,vis,snake
DSC_1266,RAB,1101,v,vis,snake
DSC_1304,RAB,1144,d,vis,snake
DSC_1307,RAB,1144,v,vis,snake
DSC_1415,RAB,1140,d,vis,snake
DSC_1418,RAB,1140,v,vis,snake
DSC_1443,RAB,1232,d,vis,snake
DSC_1446,RAB,1232,v,vis,snake
DSC_1451,RAB,1234,d,vis,snake
DSC_1454,RAB,1234,v,vis,snake
DSC_1472,RAB,1274,d,vis,snake
DSC_1475,RAB,1274,v,vis,snake
DSC_1481,RAB,1278,d,vis,snake
DSC_1484,RAB,1278,v,vis,snake
DSC_1502,RAB,1286,d,vis,snake
DSC_1505,RAB,1286,v,vis,snake
DSC_1506,RAB,1320,d,vis,snake
DSC_1509,RAB,1320,v,vis,snake
DSC_1600,RAB,1345,d,vis,snake
DSC_1603,RAB,1345,v,vis,snake
DSC_1621,RAB,1349,d,vis,snake
DSC_1624,RAB,1349,v,vis,snake
DSC_1693,RAB,1382,d,vis,snake
DSC_1696,RAB,1382,v,vis,snake
DSC_1702,RAB,1392,d,vis,snake
DSC_1705,RAB,1392,v,vis,snake
DSC_1749,RAB,1419,d,vis,snake
DSC_1753,RAB,1419,v,vis,snake
DSC_1793,RAB,1516,d,vis,snake
DSC_1796,RAB,1516,v,vis,snake
DSC_1815,RAB,1521a,d,vis,snake
DSC_1818,err,1521a,v,vis,snake
DSC_1856,RAB,1675,d,vis,snake
DSC_1859,RAB,1675,v,vis,snake
DSC_1896,RAB,1668,v,vis,snake
DSC_1897,RAB,1667,d,vis,snake
DSC_1900,RAB,1667,v,vis,snake
DSC_1911,RAB,1670,d,vis,snake
DSC_1914,RAB,1670,v,vis,snake
DSC_1930,RAB,1810,d,vis,snake
DSC_1933,RAB,1810,v,vis,snake
DSC_1949,RAB,1814,v,vis,snake
DSC_2037,RAB,1853,d,vis,snake
DSC_2040,RAB,1853,v,vis,snake
DSC_2043,RAB,1932,d,vis,snake
DSC_2046,RAB,1932,v,vis,snake
DSC_2052,RAB,1919,d,vis,snake
DSC_2055,RAB,1919,v,vis,snake
DSC_2135,RAB,2009,d,vis,snake
DSC_2138,RAB,2009,v,vis,snake
DSC_2144,RAB,1992,d,vis,snake
DSC_2147,RAB,1992,v,vis,snake
DSC_2148,RAB,2051,d,vis,snake
DSC_2151,RAB,2051,v,vis,snake
DSC_2152,RAB,2034,d,vis,snake
DSC_2155,RAB,2034,v,vis,snake
DSC_2156,RAB,2035,d,vis,snake
DSC_2159,RAB,2035,v,vis,snake
DSC_2208,RAB,2172,d,vis,snake
DSC_2211,RAB,2172,v,vis,snake
DSC_2340,RAB,2269,d,vis,snake
DSC_2343,RAB,2269,v,vis,snake
DSC_2344,RAB,2271,d,vis,snake
DSC_2345,RAB,2271,d,vis,snake
DSC_2346,RAB,2271,d,vis,snake
DSC_2349,RAB,2271,v,vis,snake
DSC_2358,RAB,2270,d,vis,snake
DSC_2361,RAB,2270,v,vis,snake
DSC_2387,RAB,2383,d,vis,snake
DSC_2390,RAB,2383,v,vis,snake
DSC_2482,RAB,2433,v,vis,snake
DSC_2483,RAB,2433,d,vis,snake
DSC_2519,RAB,2499,d,vis,snake
DSC_2522,RAB,2499,v,vis,snake
DSC_2570,RAB,2548,d,vis,snake
DSC_2573,RAB,2548,v,vis,snake
DSC_2664,RAB,2664,d,vis,snake
DSC_2667,RAB,2664,v,vis,snake
DSC_2672,RAB,2666,d,vis,snake
DSC_2675,RAB,2666,v,vis,snake
DSC_2676,RAB,2667,d,vis,snake
DSC_2679,RAB,2667,v,vis,snake
DSC_2712,RAB,2683,d,vis,snake
DSC_2714,RAB,2683,v,vis,snake
DSC_2733,RAB,2688,d,vis,snake
DSC_2736,RAB,2688,v,vis,snake
DSC_2761,RAB,2706,d,vis,snake
DSC_2793,RAB,2713,v,vis,snake
DSC_2821,RAB,2737,d,vis,snake
DSC_2824,RAB,2737,v,vis,snake
DSC_2825,RAB,2738,d,vis,snake
DSC_2826,RAB,2738,v,vis,snake
DSC_2834,RAB,2794,d,vis,snake
DSC_2836,RAB,2794,v,vis,snake
DSC_2880,RAB,2815,d,vis,snake
DSC_2881,RAB,2815,v,vis,snake
DSC_2891,RAB,2868,d,vis,snake
DSC_2892,RAB,2868,v,vis,snake
DSC_2903,RAB,2871,d,vis,snake
DSC_2906,RAB,2871,v,vis,snake
DSC_2927,RAB,2900,d,vis,snake
DSC_2930,RAB,2900,v,vis,snake
DSC_2935,RAB,2915,d,vis,snake
DSC_2951,RAB,2920,d,vis,snake
DSC_2954,RAB,2920,v,vis,snake
V1,RAB,581,v,vis,snake
V2,RAB,1223,v,vis,snake
V3,RAB,936,v,vis,snake
V4,RAB,938,v,vis,snake
V5,RAB,1321,v,vis,snake
V6,RAB,607,v,vis,snake
V7,RAB,657,v,vis,snake
V8,RAB,955,v,vis,snake
V9,RAB,584,v,vis,snake
V10,RAB,1318,v,vis,snake
